Institution,STEM,Department,Website_Type,Subset,OutsideDoc,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,
UC Irvine,Y,Ecology and Evolutionary Biology,Chair’s Message,Y,,https://ecoevo.bio.uci.edu/about/,2/7/2025,Nate,2:30,,
UC Irvine,Y,Ecology and Evolutionary Biology,About,,,https://ecoevo.bio.uci.edu/about/,2/7/2025,Nate,2:30,,
UC Irvine,Y,Ecology and Evolutionary Biology,Courses/Curriculum,,,https://ecoevo.bio.uci.edu/undergraduates/coursework-example/,2/7/2025,Nate,2:30,,
,,,,,,,,,,,
UC Irvine,Y,Biomedical Engineering,Home/Landing,,,https://engineering.uci.edu/dept/bme,2/7/2025,Nate,4:23,,
UC Irvine,Y,Biomedical Engineering,Undergrad education,,,https://engineering.uci.edu/dept/bme/undergraduate,2/7/2025,Nate,4:23,,
UC Irvine,Y,Biomedical Engineering,Prospective students,,,https://engineering.uci.edu/dept/bme/undergraduate/missions/biomedical-engineering-program,2/7/2025,Nate,4:23,,
UC Irvine,Y,Biomedical Engineering,Advising,,,,2/7/2025,Nate,4:23,,
UC Irvine,Y,Biomedical Engineering,Research,,,https://engineering.uci.edu/dept/bme/research,2/7/2025,Nate,4:23,,
UC Irvine,Y,Biomedical Engineering,Undergraduate Research,,,,2/7/2025,Nate,4:23,,
UC Irvine,Y,Biomedical Engineering,DEI/JEDI,,Y,https://sites.uci.edu/equityinengineering/,2/7/2025,Nate,4:23,,
UC Irvine,Y,Biomedical Engineering,Chair’s Message,,,https://engineering.uci.edu/dept/bme/message-chair,2/7/2025,Nate,4:23,,
UC Irvine,Y,Biomedical Engineering,About,,,https://engineering.uci.edu/dept/bme/about,2/7/2025,Nate,4:23,,
UC Irvine,Y,Biomedical Engineering,Courses/Curriculum,,,https://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofbiomedicalengineering/#courseinventory,2/7/2025,Nate,4:23,,
,,,,,,,,,,,
UC Irvine,Y,Chemical and Biomolecular Engineering,Home/Landing,,,https://engineering.uci.edu/dept/cbe,2/7/2025,Nate,1:50,,
UC Irvine,Y,Chemical and Biomolecular Engineering,Undergrad education,,,https://engineering.uci.edu/dept/cbe/undergraduate,2/7/2025,Nate,1:50,,
UC Irvine,Y,Chemical and Biomolecular Engineering,Prospective students,,,https://engineering.uci.edu/dept/cbe/undergraduate/educational-mission,2/7/2025,Nate,1:50,,
UC Irvine,Y,Chemical and Biomolecular Engineering,Advising,,,,2/7/2025,Nate,1:50,,
UC Irvine,Y,Chemical and Biomolecular Engineering,Research,,,https://engineering.uci.edu/dept/cbe/research,2/7/2025,Nate,1:50,,
UC Irvine,Y,Chemical and Biomolecular Engineering,Undergraduate Research,,,,2/7/2025,Nate,1:50,,
UC Irvine,Y,Chemical and Biomolecular Engineering,DEI/JEDI,,Y,https://sites.uci.edu/equityinengineering/,2/7/2025,Nate,1:50,,
UC Irvine,Y,Chemical and Biomolecular Engineering,Chair’s Message,,,https://engineering.uci.edu/dept/cbe/message-chair,2/7/2025,Nate,1:50,,
UC Irvine,Y,Chemical and Biomolecular Engineering,About,,,https://engineering.uci.edu/dept/cbe/about,2/7/2025,Nate,1:50,,
UC Irvine,Y,Chemical and Biomolecular Engineering,Courses/Curriculum,,,https://engineering.uci.edu/dept/cbe/undergraduate/chemical-engineering,2/7/2025,Nate,1:50,,
,,,,,,,,,,,
UC Irvine,Y,Civil and Environmental Engineering,Home/Landing,,,https://engineering.uci.edu/dept/cee,2/7/2025,Nate,1:58,,
UC Irvine,Y,Civil and Environmental Engineering,Undergrad education,,,https://engineering.uci.edu/dept/cee/academics/undergraduate,2/7/2025,Nate,1:58,,
UC Irvine,Y,Civil and Environmental Engineering,Prospective students,,,https://engineering.uci.edu/dept/cee/academics/undergraduate/missions/civil-engineering,2/7/2025,Nate,1:58,,
UC Irvine,Y,Civil and Environmental Engineering,Advising,,,,2/7/2025,Nate,1:58,,
UC Irvine,Y,Civil and Environmental Engineering,Research,,,https://engineering.uci.edu/dept/cee/research,2/7/2025,Nate,1:58,,
UC Irvine,Y,Civil and Environmental Engineering,Undergraduate Research,,,,2/7/2025,Nate,1:58,,
UC Irvine,Y,Civil and Environmental Engineering,DEI/JEDI,,Y,https://sites.uci.edu/equityinengineering/,2/7/2025,Nate,1:58,,
UC Irvine,Y,Civil and Environmental Engineering,Chair’s Message,,,https://engineering.uci.edu/dept/cee/message-chair,2/7/2025,Nate,1:58,,
UC Irvine,Y,Civil and Environmental Engineering,About,,,https://engineering.uci.edu/dept/cee/mission,2/7/2025,Nate,1:58,,
UC Irvine,Y,Civil and Environmental Engineering,Courses/Curriculum,,Y,https://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofcivilandenvironmentalengineering/#courseinventory,2/7/2025,Nate,1:58,,
,,,,,,,,,,,
UC Irvine,Y,Electrical Engineering and Computer Science,Home/Landing,,,https://engineering.uci.edu/dept/eecs,3/4/2025,Nate,3:49,,
UC Irvine,Y,Electrical Engineering and Computer Science,Undergrad education,,,https://engineering.uci.edu/dept/eecs/academics/undergraduate,3/4/2025,Nate,3:49,,
UC Irvine,Y,Electrical Engineering and Computer Science,Prospective students,,,,3/4/2025,Nate,3:49,,
UC Irvine,Y,Electrical Engineering and Computer Science,Advising,,,,3/4/2025,Nate,3:49,,
UC Irvine,Y,Electrical Engineering and Computer Science,Research,,,https://engineering.uci.edu/dept/eecs/research,3/4/2025,Nate,3:49,,
UC Irvine,Y,Electrical Engineering and Computer Science,Undergraduate Research,,,,3/4/2025,Nate,3:49,,
UC Irvine,Y,Electrical Engineering and Computer Science,DEI/JEDI,,,,3/4/2025,Nate,3:49,,
UC Irvine,Y,Electrical Engineering and Computer Science,Chair’s Message,,,https://engineering.uci.edu/dept/eecs/about/message-chair,3/4/2025,Nate,3:49,,
UC Irvine,Y,Electrical Engineering and Computer Science,About,,,https://engineering.uci.edu/dept/eecs/about,3/4/2025,Nate,3:49,,
UC Irvine,Y,Electrical Engineering and Computer Science,Courses/Curriculum,,Y,https://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofelectricalengineeringandcomputerscience/#text,3/4/2025,Nate,3:49,,
,,,,,,,,,,,
UC Irvine,Y,Materials Science and Engineering,Home/Landing,,,https://engineering.uci.edu/dept/mse,3/4/2025,Nate,2:08,,
UC Irvine,Y,Materials Science and Engineering,Undergrad education,,,https://engineering.uci.edu/dept/mse/undergraduate,3/4/2025,Nate,2:08,,
UC Irvine,Y,Materials Science and Engineering,Prospective students,,,https://engineering.uci.edu/dept/mse/undergraduate/what-is-mse,3/4/2025,Nate,2:08,,
UC Irvine,Y,Materials Science and Engineering,Advising,,,,3/4/2025,Nate,2:08,,
UC Irvine,Y,Materials Science and Engineering,Research,,,https://engineering.uci.edu/dept/mse/research,3/4/2025,Nate,2:08,,
UC Irvine,Y,Materials Science and Engineering,Undergraduate Research,,,,3/4/2025,Nate,2:08,,
UC Irvine,Y,Materials Science and Engineering,DEI/JEDI,,,https://engineering.uci.edu/dept/mse/diversity-inclusion,3/4/2025,Nate,2:08,,
UC Irvine,Y,Materials Science and Engineering,Chair’s Message,,,https://engineering.uci.edu/dept/mse/message-chair,3/4/2025,Nate,2:08,,
UC Irvine,Y,Materials Science and Engineering,About,,,https://engineering.uci.edu/dept/mse/about,3/4/2025,Nate,2:08,,
UC Irvine,Y,Materials Science and Engineering,Courses/Curriculum,,,https://engineering.uci.edu/dept/mse/undergraduate/course-listing,3/4/2025,Nate,2:08,,
,,,,,,,,,,,
UC Irvine,Y,Mechanical and Aerospace Engineering,Home/Landing,,,https://engineering.uci.edu/dept/mae,3/4/2025,Nate,2:06,,
UC Irvine,Y,Mechanical and Aerospace Engineering,Undergrad education,,,https://engineering.uci.edu/dept/mae/undergraduate,3/4/2025,Nate,2:06,,
UC Irvine,Y,Mechanical and Aerospace Engineering,Prospective students,,,https://engineering.uci.edu/dept/mae/undergraduate/educational-experience,3/4/2025,Nate,2:06,,
