Institution,STEM,Department,Website_Type,Subset,Outside_Dept,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,
UCSB,Y,Electrical and Computer Engineering,Home/Landing,,,https://www.ece.ucsb.edu/,2/10/2025,Keya,3:11.67,,
UCSB,Y,Electrical and Computer Engineering,Undergrad education,,,https://www.ece.ucsb.edu/undergrad,2/10/2025,Keya,3:11.67,,
UCSB,Y,Electrical and Computer Engineering,Prospective students,,,https://www.ece.ucsb.edu/undergrad/prospective,2/10/2025,Keya,3:11.67,,
UCSB,Y,Electrical and Computer Engineering,Advising,,,https://www.ece.ucsb.edu/undergrad/timeline-advising,2/10/2025,Keya,3:11.67,,
UCSB,Y,Electrical and Computer Engineering,Research,,,https://www.ece.ucsb.edu/research,2/10/2025,Keya,3:11.67,,
UCSB,Y,Electrical and Computer Engineering,Undergraduate Research,,Y,https://engineering.ucsb.edu/undergraduate/undergraduate-research-opportunities,2/10/2025,Keya,3:11.67,,
UCSB,Y,Electrical and Computer Engineering,DEI/JEDI,,,https://www.ece.ucsb.edu/about/ece-diversity,2/10/2025,Keya,3:11.67,,
UCSB,Y,Electrical and Computer Engineering,Chair’s Message,Y,,https://www.ece.ucsb.edu/about,2/10/2025,Keya,3:11.67,,
UCSB,Y,Electrical and Computer Engineering,About,,,https://www.ece.ucsb.edu/about,2/10/2025,Keya,3:11.67,,
UCSB,Y,Electrical and Computer Engineering,Courses/Curriculum,,,https://www.ece.ucsb.edu/undergrad/curriculum,2/10/2025,Keya,3:11.67,,
,,,,,,,,,,,
UCSB,Y,Mechanical Engineering,Home/Landing,,,https://me.ucsb.edu/,2/10/2025,Keya,2:38.23,,
UCSB,Y,Mechanical Engineering,Undergrad education,,,https://me.ucsb.edu/index.php/undergraduate/undergraduate-program-overview,2/10/2025,Keya,2:38.23,,
UCSB,Y,Mechanical Engineering,Prospective students,,,https://me.ucsb.edu/index.php/undergraduate/admissions,2/10/2025,Keya,2:38.23,,
UCSB,Y,Mechanical Engineering,Advising,,,https://me.ucsb.edu/index.php/undergraduate/academics/academic-advising,2/10/2025,Keya,2:38.23,,
UCSB,Y,Mechanical Engineering,Research,,,https://me.ucsb.edu/index.php/research/overview,2/10/2025,Keya,2:38.23,,
UCSB,Y,Mechanical Engineering,Undergraduate Research,,,,2/10/2025,Keya,2:38.23,,
UCSB,Y,Mechanical Engineering,DEI/JEDI,,,,2/10/2025,Keya,2:38.23,,
UCSB,Y,Mechanical Engineering,Chair’s Message,,,https://me.ucsb.edu/index.php/about/chairs-message,2/10/2025,Keya,2:38.23,,
UCSB,Y,Mechanical Engineering,About,,,https://me.ucsb.edu/about/overview,2/10/2025,Keya,2:38.23,,
UCSB,Y,Mechanical Engineering,Courses/Curriculum,,,https://me.ucsb.edu/undergraduate/academics/bs-requirements,2/10/2025,Keya,2:38.23,,
,,,,,,,,,,,
UCSB,Y,Earth Science,Home/Landing,,,https://www.geol.ucsb.edu/,2/25/2025,Keya,1:38.02,,
UCSB,Y,Earth Science,Undergrad education,,,https://www.geol.ucsb.edu/undergrad-overview,2/25/2025,Keya,1:38.02,,
UCSB,Y,Earth Science,Prospective students,,,,2/25/2025,Keya,1:38.02,,
UCSB,Y,Earth Science,Advising,,,https://www.geol.ucsb.edu/major-advising,2/25/2025,Keya,1:38.02,,
UCSB,Y,Earth Science,Research,,,https://www.geol.ucsb.edu/research,2/25/2025,Keya,1:38.02,,
UCSB,Y,Earth Science,Undergraduate Research,,,https://www.geol.ucsb.edu/research-opportunites,2/25/2025,Keya,1:38.02,,
UCSB,Y,Earth Science,DEI/JEDI,,,https://www.geol.ucsb.edu/jedi,2/25/2025,Keya,1:38.02,,
UCSB,Y,Earth Science,Chair’s Message,,,,2/25/2025,Keya,1:38.02,,
UCSB,Y,Earth Science,About,,,https://www.geol.ucsb.edu/,2/25/2025,Keya,1:38.02,,
UCSB,Y,Earth Science,Courses/Curriculum,,,https://www.geol.ucsb.edu/undergrad-courses,2/25/2025,Keya,1:38.02,,
,,,,,,,,,,,
UCSB,Y,Environmental Studies,Home/Landing,,,https://es.ucsb.edu/,2/25/2025,Keya,1:40.72,,
UCSB,Y,Environmental Studies,Undergrad education,,,https://es.ucsb.edu/education,2/25/2025,Keya,1:40.72,,
UCSB,Y,Environmental Studies,Prospective students,,,https://es.ucsb.edu/declaring-major,2/25/2025,Keya,1:40.72,,
UCSB,Y,Environmental Studies,Advising,,,https://es.ucsb.edu/advising,2/25/2025,Keya,1:40.72,,
UCSB,Y,Environmental Studies,Research,,,,2/25/2025,Keya,1:40.72,,
UCSB,Y,Environmental Studies,Undergraduate Research,,,https://es.ucsb.edu/undergradresearch,2/25/2025,Keya,1:40.72,,
UCSB,Y,Environmental Studies,DEI/JEDI,,,,2/25/2025,Keya,1:40.72,,
UCSB,Y,Environmental Studies,Chair’s Message,,,https://es.ucsb.edu/index.php/chairs-welcome,2/25/2025,Keya,1:40.72,,
UCSB,Y,Environmental Studies,About,,,https://es.ucsb.edu/about,2/25/2025,Keya,1:40.72,,
UCSB,Y,Environmental Studies,Courses/Curriculum,,,https://es.ucsb.edu/courses,2/25/2025,Keya,1:40.72,,
