Institution,STEM,Department,Website_Type,Subset,OutsideDoc,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,,,,
UC Berkeley,N,Ethnic Studies,Home/Landing,,,https://ethnicstudies.berkeley.edu/,10/23/24,Keya,3:05,,,,,
UC Berkeley,N,Ethnic Studies,Undergrad education,,,https://ethnicstudies.berkeley.edu/programs/undergrad/,10/23/24,Keya,3:05,,,,,
UC Berkeley,N,Ethnic Studies,Prospective students,,,,10/23/24,Keya,3:05,,,,,
UC Berkeley,N,Ethnic Studies,Advising,,,https://ethnicstudies.berkeley.edu/programs/undergrad/advising/,10/23/24,Keya,3:05,,,,,
UC Berkeley,N,Ethnic Studies,Research,,,,10/23/24,Keya,3:05,,,,,Political Economy
UC Berkeley,N,Ethnic Studies,Undergraduate Research,,,,10/23/24,Keya,3:05,,,,,Political Science
UC Berkeley,N,Ethnic Studies,DEI/JEDI,,,,10/23/24,Keya,3:05,,,,,"Portuguese, Spanish and"
UC Berkeley,N,Ethnic Studies,Chair’s Message,,,,10/23/24,Keya,3:05,,,,,
UC Berkeley,N,Ethnic Studies,About,,,https://ethnicstudies.berkeley.edu/about/history/,10/23/24,Keya,3:05,,,,,
UC Berkeley,N,Ethnic Studies,Courses/Curriculum,,Y,,10/23/24,Keya,3:05,,,,,"Public Policy, The Richard & Rhoda Goldman School of"
UC Berkeley,,,,,,,10/23/24,Keya,,,,,,
UC Berkeley,Y,Astronomy,Home/Landing,,,https://astro.berkeley.edu/,10/23/24,Keya,2:50,,,,,Renaissance and Early Modern Studies
UC Berkeley,Y,Astronomy,Undergrad education,,,https://astro.berkeley.edu/programs/undergraduate-program/,10/23/24,Keya,2:50,,,,,Rhetoric
UC Berkeley,Y,Astronomy,Prospective students,,,https://astro.berkeley.edu/prospective-students/,10/23/24,Keya,2:50,,,,,Romance Languages and Literatures
UC Berkeley,Y,Astronomy,Advising,,,https://astro.berkeley.edu/programs/undergraduate-program/undergraduate-resources/,10/23/24,Keya,2:50,"""resources""",,,,Scandinavian
UC Berkeley,Y,Astronomy,Research,,,https://astro.berkeley.edu/research-facilities/research-opportunities/,10/23/24,Keya,2:50,,,,,
UC Berkeley,Y,Astronomy,Undergraduate Research,Y,,https://astro.berkeley.edu/research-facilities/research-opportunities/,10/23/24,Keya,2:50,,,,,Slavic Languages and Literatures
UC Berkeley,Y,Astronomy,DEI/JEDI,,,https://astro.berkeley.edu/about/diversity-and-climate/,10/23/24,Keya,2:50,,,,,"Slavic, East European, and Eurasian Studies, Institute of"
UC Berkeley,Y,Astronomy,Chair’s Message,,,https://astro.berkeley.edu/about/,10/23/24,Keya,2:50,,,,,"Social Welfare, School of"
UC Berkeley,Y,Astronomy,About,,,https://astro.berkeley.edu/about/history/,10/23/24,Keya,2:50,,,,,Society and Environment
UC Berkeley,Y,Astronomy,Courses/Curriculum,,,https://astro.berkeley.edu/courses-category/undergraduate-spring-2020/,10/23/24,Keya,2:50,,,,,Sociology
UC Berkeley,,,,,,,10/23/24,Keya,,,,,,South and Southeast Asian Studies
UC Berkeley,Y,Bioengineering,Home/Landing,,,https://bioeng.berkeley.edu/,10/23/24,Keya,2:05,,,,,"South Asia Studies, Institute for"
UC Berkeley,Y,Bioengineering,Undergrad education,,,https://bioeng.berkeley.edu/undergrad,10/23/24,Keya,2:05,,,,,Spanish and Portuguese
UC Berkeley,Y,Bioengineering,Prospective students,,,https://bioeng.berkeley.edu/undergrad,10/23/24,Keya,2:05,,,,,
UC Berkeley,Y,Bioengineering,Advising,,,https://bioeng.berkeley.edu/undergrad/advising,10/23/24,Keya,2:05,,,,,"Theater, Dance & Performance Studies"
UC Berkeley,Y,Bioengineering,Research,,,https://bioeng.berkeley.edu/research,10/23/24,Keya,2:05,,,,,
UC Berkeley,Y,Bioengineering,Undergraduate Research,,,https://bioeng.berkeley.edu/undergrad/undergradresearch,10/23/24,Keya,2:05,,,,,Urban Design
UC Berkeley,Y,Bioengineering,DEI/JEDI,,,,10/23/24,Keya,2:05,,,,,
UC Berkeley,Y,Bioengineering,Chair’s Message,,,,10/23/24,Keya,2:05,,,,,"Women's Studies, Gender and"
UC Berkeley,Y,Bioengineering,About,,,https://bioeng.berkeley.edu/about-us,10/23/24,Keya,2:05,,,,,
UC Berkeley,Y,Bioengineering,Courses/Curriculum,,,https://bioeng.berkeley.edu/undergrad/program,10/23/24,Keya,2:05,,,,,
UC Berkeley,,,,,,,10/23/24,Keya,,,,,,
UC Berkeley,Y,"Biology, Integrative",Home/Landing,,,https://ib.berkeley.edu/,10/23/24,Keya,2:12,,,,,
UC Berkeley,Y,"Biology, Integrative",Undergrad education,,,https://ib.berkeley.edu/undergrad,10/23/24,Keya,2:12,,,,,
UC Berkeley,Y,"Biology, Integrative",Prospective students,,,https://ib.berkeley.edu/undergrad/major/declaring.php,10/23/24,Keya,2:12,"""declaring major""",,,,
UC Berkeley,Y,"Biology, Integrative",Advising,,,https://ib.berkeley.edu/undergrad/advising.php,10/23/24,Keya,2:12,,,,,
UC Berkeley,Y,"Biology, Integrative",Research,,,https://ib.berkeley.edu/research,10/23/24,Keya,2:12,,,,,
UC Berkeley,Y,"Biology, Integrative",Undergraduate Research,,,https://ib.berkeley.edu/undergrad/research.php,10/23/24,Keya,2:12,,,,,
UC Berkeley,Y,"Biology, Integrative",DEI/JEDI,,,https://ib.berkeley.edu/diversity,10/23/24,Keya,2:12,,,,,
UC Berkeley,Y,"Biology, Integrative",Chair’s Message,,,,10/23/24,Keya,2:12,,,,,
UC Berkeley,Y,"Biology, Integrative",About,,,https://ib.berkeley.edu/about,10/23/24,Keya,2:12,,,,,
UC Berkeley,Y,"Biology, Integrative",Courses/Curriculum,,,https://ib.berkeley.edu/academics/courses,10/23/24,Keya,2:12,,,,,
UC Berkeley,,,,,,,10/23/24,Keya,,,,,,
UC Berkeley,Y,"Biology, Molecular and Cell",Home/Landing,,,https://mcb.berkeley.edu/,10/23/24,Keya,1:43,,,,,
UC Berkeley,Y,"Biology, Molecular and Cell",Undergrad education,,,https://mcb.berkeley.edu/undergrad,10/23/24,Keya,1:43,,,,,
UC Berkeley,Y,"Biology, Molecular and Cell",Prospective students,,,https://mcb.berkeley.edu/undergrad/prospective-students,10/23/24,Keya,1:43,,,,,
UC Berkeley,Y,"Biology, Molecular and Cell",Advising,,,https://mcb.berkeley.edu/undergrad/advising/advising-office/advising-services,10/23/24,Keya,1:43,,,,,
UC Berkeley,Y,"Biology, Molecular and Cell",Research,,,https://mcb.berkeley.edu/faculty-and-research,10/23/24,Keya,1:43,,,,,
UC Berkeley,Y,"Biology, Molecular and Cell",Undergraduate Research,,,https://mcb.berkeley.edu/undergrad/research,10/23/24,Keya,1:43,,,,,
UC Berkeley,Y,"Biology, Molecular and Cell",DEI/JEDI,,,https://mcb.berkeley.edu/diversity,10/23/24,Keya,1:43,,,,,
UC Berkeley,Y,"Biology, Molecular and Cell",Chair’s Message,,,,10/23/24,Keya,1:43,,,,,
UC Berkeley,Y,"Biology, Molecular and Cell",About,,,https://mcb.berkeley.edu/about-the-department,10/23/24,Keya,1:43,,,,,
UC Berkeley,Y,"Biology, Molecular and Cell",Courses/Curriculum,,,https://mcb.berkeley.edu/undergrad/courses,10/23/24,Keya,1:43,,,,,
UC Berkeley,,,,,,,10/23/24,Keya,,,,,,
UC Berkeley,Y,"Biology, Plant and Microbial",Home/Landing,,,https://plantandmicrobiology.berkeley.edu/,10/23/24,Keya,4:04,,,,,
UC Berkeley,Y,"Biology, Plant and Microbial",Undergrad education,,,https://plantandmicrobiology.berkeley.edu/undergraduate-majors,10/23/24,Keya,4:04,,,,,
UC Berkeley,Y,"Biology, Plant and Microbial",Prospective students,,,,10/23/24,Keya,4:04,outside dept website -> goes to college website,,,,
UC Berkeley,Y,"Biology, Plant and Microbial",Advising,,,,10/23/24,Keya,4:04,outside dept website -> goes to college website,,,,
UC Berkeley,Y,"Biology, Plant and Microbial",Research,,,https://plantandmicrobiology.berkeley.edu/research,10/23/24,Keya,4:04,,,,,
UC Berkeley,Y,"Biology, Plant and Microbial",Undergraduate Research,,,,10/23/24,Keya,4:04,goes to college website,,,,
UC Berkeley,Y,"Biology, Plant and Microbial",DEI/JEDI,,,https://plantandmicrobiology.berkeley.edu/equity-in-action,10/23/24,Keya,4:04,,,,,
UC Berkeley,Y,"Biology, Plant and Microbial",Chair’s Message,,,,10/23/24,Keya,4:04,,,,,
UC Berkeley,Y,"Biology, Plant and Microbial",About,,,https://plantandmicrobiology.berkeley.edu/about,10/23/24,Keya,4:04,,,,,
UC Berkeley,Y,"Biology, Plant and Microbial",Courses/Curriculum,,,,10/23/24,Keya,4:04,goes to berk catalog,,,,
UC Berkeley,,,,,,,10/23/24,Keya,,,,,,
UC Berkeley,Y,Physics,Home/Landing,,,https://physics.berkeley.edu/,10/23/24,Keya,2:26,,,,,
UC Berkeley,Y,Physics,Undergrad education,,,https://physics.berkeley.edu/academics/undergraduate-degree,10/23/24,Keya,2:26,,,,,
UC Berkeley,Y,Physics,Prospective students,,,,10/23/24,Keya,2:26,,,,,
UC Berkeley,Y,Physics,Advising,,,https://physics.berkeley.edu/student-life/student-support-advising,10/23/24,Keya,2:26,,,,,
UC Berkeley,Y,Physics,Research,,,https://physics.berkeley.edu/research-faculty,10/23/24,Keya,2:26,,,,,
UC Berkeley,Y,Physics,Undergraduate Research,,,https://physics.berkeley.edu/academics/undergraduate-research,10/23/24,Keya,2:26,,,,,
UC Berkeley,Y,Physics,DEI/JEDI,,,https://physics.berkeley.edu/equity-inclusion,10/23/24,Keya,2:26,,,,,
UC Berkeley,Y,Physics,Chair’s Message,,,https://physics.berkeley.edu/welcome,10/23/24,Keya,2:26,,,,,
UC Berkeley,Y,Physics,About,,,https://physics.berkeley.edu/welcome/history,10/23/24,Keya,2:26,,,,,
UC Berkeley,Y,Physics,Courses/Curriculum,,,https://physics.berkeley.edu/academics/courses,10/23/24,Keya,2:26,,,,,
UC Berkeley,,,,,,,,Keya,,,,,,
UC Berkeley,,Business,Home/Landing,,,,,Keya,,,,,,
UC Berkeley,,Business,Undergrad education,,,,,Keya,,,,,,
UC Berkeley,,Business,Prospective students,,,,,Keya,,,,,,
UC Berkeley,,Business,Advising,,,,,Keya,,,,,,
UC Berkeley,,Business,Research,,,,,Keya,,,,,,
UC Berkeley,,Business,Undergraduate Research,,,,,Keya,,,,,,
UC Berkeley,,Business,DEI/JEDI,,,,,Keya,,,,,,
UC Berkeley,,Business,Chair’s Message,,,,,Keya,,,,,,
UC Berkeley,,Business,About,,,,,Keya,,,,,,
UC Berkeley,,Business,Courses/Curriculum,,,,,Keya,,,,,,
UC Berkeley,,,,,,,,Keya,,,,,,
UC Berkeley,Y,"Chemical and Biomolecular Engineering, Department of",Home/Landing,,,https://chemistry.berkeley.edu/cbe,1/14,Keya,2:23,,,,,
UC Berkeley,Y,"Chemical and Biomolecular Engineering, Department of",Undergrad education,,,https://chemistry.berkeley.edu/ugrad/degrees/cheme,1/14,Keya,2:23,,,,,
UC Berkeley,Y,"Chemical and Biomolecular Engineering, Department of",Prospective students,,,https://chemistry.berkeley.edu/ugrad/prospective-students,1/14,Keya,2:23,,,,,
UC Berkeley,Y,"Chemical and Biomolecular Engineering, Department of",Advising,,,https://chemistry.berkeley.edu/ugrad/student-services,1/14,Keya,2:23,,,,,
UC Berkeley,Y,"Chemical and Biomolecular Engineering, Department of",Research,,,https://chemistry.berkeley.edu/cbe-research,1/14,Keya,2:23,,,,,
UC Berkeley,Y,"Chemical and Biomolecular Engineering, Department of",Undergraduate Research,,,,1/14,Keya,2:23,,,,,
UC Berkeley,Y,"Chemical and Biomolecular Engineering, Department of",DEI/JEDI,,,https://chemistry.berkeley.edu/cbe/diversity-equity-and-inclusion,1/14,Keya,2:23,,,,,
UC Berkeley,Y,"Chemical and Biomolecular Engineering, Department of",Chair’s Message,,,,1/14,Keya,2:23,,,,,
UC Berkeley,Y,"Chemical and Biomolecular Engineering, Department of",About,,,https://chemistry.berkeley.edu/about-dept-cbe,1/14,Keya,2:23,,,,,
UC Berkeley,Y,"Chemical and Biomolecular Engineering, Department of",Courses/Curriculum,,,,1/14,Keya,,,,,,
UC Berkeley,,,,,,,1/14,Keya,,,,,,
UC Berkeley,Y,"Chemistry, Department of",Home/Landing,,,https://chemistry.berkeley.edu/chem,1/14,Keya,2:29,,,,,
UC Berkeley,Y,"Chemistry, Department of",Undergrad education,,,https://chemistry.berkeley.edu/ugrad/degrees/,1/14,Keya,2:29,,,,,
UC Berkeley,Y,"Chemistry, Department of",Prospective students,,,https://chemistry.berkeley.edu/ugrad/prospective-students,1/14,Keya,2:29,,,,,
UC Berkeley,Y,"Chemistry, Department of",Advising,,,https://chemistry.berkeley.edu/ugrad/current-students/enrollment-advising,1/14,Keya,2:29,,,,,
UC Berkeley,Y,"Chemistry, Department of",Research,,,https://chemistry.berkeley.edu/chem-research,1/14,Keya,2:29,,,,,
UC Berkeley,Y,"Chemistry, Department of",Undergraduate Research,,,,1/14,Keya,2:29,,,,,
UC Berkeley,Y,"Chemistry, Department of",DEI/JEDI,,,https://chemistry.berkeley.edu/deib,1/14,Keya,2:29,"some of this is from college of chemistry, not department",,,,
UC Berkeley,Y,"Chemistry, Department of",Chair’s Message,,,,1/14,Keya,2:29,,,,,
UC Berkeley,Y,"Chemistry, Department of",About,,,https://chemistry.berkeley.edu/about-dept-chemistry,1/14,Keya,2:29,,,,,
UC Berkeley,Y,"Chemistry, Department of",Courses/Curriculum,,,,1/14,Keya,2:29,,,,,
UC Berkeley,,,,,,,1/14,Keya,,,,,,
UC Berkeley,Y,Civil and Environmental Engineering,Home/Landing,,,https://ce.berkeley.edu/,1/14,Keya,1:58,,,,,
UC Berkeley,Y,Civil and Environmental Engineering,Undergrad education,,,https://ce.berkeley.edu/undergrad/prospective-students,1/14,Keya,1:58,current undergrads are subsection of prospective students tab,,,,
